Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6671190,AIR_9,REGION,SEAR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,5.75 [2.43-10.21],5.75117,2.4296,10.20753,,2022-09-12T17:07:52+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6671706,AIR_9,UNREGION,15,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,2.61 [1.01-4.75],2.60947,1.01483,4.75274,,2022-09-12T16:32:45+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6690110,AIR_9,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,,,85 [46-138],84.72544,46.2386,137.50033,,2022-08-26T09:26:36+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6690416,AIR_9,COUNTRY,COL,AMR,YEAR,Americas,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,,,12 [6-21],12.14827,6.19332,20.90642,,2022-08-26T09:25:54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6690920,AIR_9,REGION,AFR,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,8.03 [2.94-15.37],8.03103,2.94456,15.3696,,2022-09-12T17:07:46+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6690975,AIR_9,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,,,611 [262-957],611.26828,261.71031,957.31772,,2022-08-26T09:26:37+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6696351,AIR_9,REGION,AFR,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,8.87 [3.32-17.07],8.87252,3.31556,17.06962,,2022-09-12T17:07:46+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6702532,AIR_9,UNSDGREGION,UNSDG_EUROPENORTHERNAMR,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,2.07 [0.79-3.78],2.06773,0.79169,3.77961,,2022-09-12T15:58:51+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6702590,AIR_9,COUNTRY,GIN,AFR,YEAR,Africa,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,,,287 [178-379],287.22061,178.06358,379.33425,,2022-08-26T09:26:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6703647,AIR_9,UNREGION,143,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,6.59 [3.49-10.00],6.58933,3.48642,9.99822,,2022-09-12T16:32:24+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6709256,AIR_9,COUNTRY,AGO,AFR,YEAR,Africa,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,,,130 [48-206],129.73738,47.50479,205.55462,,2022-08-26T09:25:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6715448,AIR_9,UNREGION,419,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,10.97 [4.96-18.27],10.97472,4.95655,18.27003,,2022-09-12T16:32:39+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6715804,AIR_9,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,,,191 [113-259],191.24071,113.36472,258.72361,,2022-08-26T09:26:26+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6716002,AIR_9,UNREGION,143,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,1.18 [0.70-1.81],1.18149,0.69618,1.81006,,2022-09-12T16:32:28+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6721576,AIR_9,COUNTRY,KHM,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,234 [112-366],233.96485,112.41709,366.30239,,2022-08-26T09:26:10+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6721608,AIR_9,UNSDGREGION,UNSDG_WESTERNASIANORTHERNAFR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,86.46 [58.90-109.69],86.46058,58.90193,109.68947,,2022-09-12T15:59:01+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6721801,AIR_9,UNREGION,202,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.22 [0.12-0.34],0.21856,0.1235,0.33969,,2022-09-12T16:33:18+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6722345,AIR_9,UNSDGREGION,UNSDG_WESTERNASIANORTHERNAFR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,16.79 [9.98-25.25],16.79185,9.98432,25.25375,,2022-09-12T15:59:03+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6727998,AIR_9,UNSDGREGION,UNSDG_EASTERNASIASOUTHEASTERNASIA,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE20-24,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,1.56 [0.96-2.19],1.56429,0.96455,2.19032,,2022-09-12T15:58:40+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6734797,AIR_9,WORLDBANKINCOMEGROUP,WB_LIMI,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,9.42 [6.39-11.86],9.41896,6.39143,11.85653,,2022-09-12T14:49:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6735556,AIR_9,UNREGION,21,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,0.33 [0.05-0.90],0.32755,0.04803,0.89717,,2022-09-12T16:32:49+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6741958,AIR_9,UNREGION,34,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,16.05 [11.90-20.73],16.05259,11.90468,20.72893,,2022-09-12T16:33:16+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6747124,AIR_9,COUNTRY,FIN,EUR,YEAR,Europe,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,,,5 [1-12],4.87977,0.85644,12.45663,,2022-08-26T09:25:59+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6748386,AIR_9,UNREGION,30,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,13.98 [8.05-21.49],13.97987,8.05388,21.49371,,2022-09-12T16:32:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6753901,AIR_9,UNSDGREGION,UNSDG_AUSTRALIANEWZEALAND,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,19.36 [6.28-39.10],19.35689,6.27724,39.0981,,2022-09-12T15:58:32+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6760726,AIR_9,UNSDGREGION,UNSDG_LAC,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE0-4,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,38.71 [19.04-61.37],38.7149,19.03815,61.37111,,2022-09-12T15:58:47+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6760829,AIR_9,GLOBAL,GLOBAL,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,8.31 [5.52-11.53],8.31064,5.51501,11.5305,,2022-09-12T17:38:20+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6766756,AIR_9,UNREGION,145,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,4.25 [2.25-6.43],4.25253,2.25484,6.42922,,2022-09-12T16:33:22+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6766813,AIR_9,COUNTRY,SVK,EUR,YEAR,Europe,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,176 [82-281],176.46161,82.46664,280.99681,,2022-08-26T09:26:29+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6779098,AIR_9,REGION,AFR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,19.02 [10.00-28.54],19.02063,9.99919,28.53527,,2022-09-12T17:07:44+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6785712,AIR_9,COUNTRY,SWZ,AFR,YEAR,Africa,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,,,,1 153 [725-1 630],1152.77919,724.7818,1629.54997,,2022-08-26T09:26:30+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6792043,AIR_9,COUNTRY,COL,AMR,YEAR,Americas,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,67 [30-111],67.47855,29.56339,111.48416,,2022-08-26T09:25:54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
