,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
8936,KEN,AFR,2015,GHECAUSE_GHE000000,3640.468,3129.249,4129.718
8941,AUT,EUR,2017,GHECAUSE_GHE000000,342.751,239.001,446.967
8943,ZMB,AFR,2016,GHECAUSE_GHE001140,1623.939,1017.039,2287.028
8949,SVK,EUR,2014,GHECAUSE_GHE000680,55.907,30.435,90.029
8951,MKD,EUR,2019,GHECAUSE_GHE000000,1941.042,1177.335,2977.363
8954,MMR,SEAR,2012,GHECAUSE_GHE001180,1005.276,645.43,1436.127
8958,BRB,AMR,2012,GHECAUSE_GHE000000,328.604,200.463,479.603
8960,DZA,AFR,2013,GHECAUSE_GHE000390,160.678,79.383,252.528
8963,TLS,SEAR,2015,GHECAUSE_GHE001130,1129.573,874.113,1343.017
8964,HTI,AMR,2011,GHECAUSE_GHE001140,1621.313,1021.449,2297.108
8966,CPV,AFR,2010,GHECAUSE_GHE001140,396.722,219.753,616.034
8972,NIC,AMR,2018,GHECAUSE_GHE000390,320.747,248.33,401.365
8973,CHN,WPR,2016,GHECAUSE_GHE001130,671.603,491.089,848.479
8974,ROU,EUR,2011,GHECAUSE_GHE001140,324.943,162.115,504.101
8983,LUX,EUR,2011,GHECAUSE_GHE000000,337.356,236.846,444.687
8986,VNM,WPR,2014,GHECAUSE_GHE000680,143.285,76.231,216.637
8987,MDV,SEAR,2019,GHECAUSE_GHE001130,340.635,196.613,471.13
8990,MAR,EMR,2014,GHECAUSE_GHE000390,154.315,73.332,258.712
9001,ETH,AFR,2014,GHECAUSE_GHE001140,810.183,527.304,1110.869
9006,SVK,EUR,2010,GHECAUSE_GHE001180,48.702,15.556,99.183
9008,GAB,AFR,2015,GHECAUSE_GHE000680,48.049,20.844,84.594
9010,IRN,EMR,2016,GHECAUSE_GHE001140,218.009,110.515,341.486
9016,BRA,AMR,2017,GHECAUSE_GHE001130,333.506,205.33,454.418
9018,LTU,EUR,2011,GHECAUSE_GHE000680,38.234,19.237,64.034
