,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
2,SLV,AMR,2018,GHECAUSE_GHE000390,243.742,154.05,340.223
6,MEX,AMR,2018,GHECAUSE_GHE001140,133.314,72.496,199.513
8,DOM,AMR,2014,GHECAUSE_GHE001180,46.758,15.665,104.331
9,ARE,EMR,2010,GHECAUSE_GHE000000,1700.017,1338.762,2065.767
10,LAO,WPR,2016,GHECAUSE_GHE001130,1399.435,1070.575,1684.622
11,WPR,,2019,GHECAUSE_GHE000390,215.432,157.857,278.569
12,PHL,WPR,2014,GHECAUSE_GHE001140,790.25,452.955,1162.072
13,ARE,EMR,2016,GHECAUSE_GHE001140,338.135,184.192,511.917
14,ITA,EUR,2016,GHECAUSE_GHE000000,288.344,214.398,366.251
16,ARM,EUR,2010,GHECAUSE_GHE001130,1213.578,822.043,1581.072
17,KEN,AFR,2015,GHECAUSE_GHE000680,46.23,38.606,53.434
18,FRA,EUR,2019,GHECAUSE_GHE000680,33.196,15.897,58.517
19,BFA,AFR,2012,GHECAUSE_GHE001180,345.402,229.262,476.326
23,KAZ,EUR,2018,GHECAUSE_GHE000000,1797.564,1245.384,2537.425
24,CAN,AMR,2018,GHECAUSE_GHE001130,116.475,62.1,164.124
31,CIV,AFR,2014,GHECAUSE_GHE001130,1488.76,1164.234,1783.033
35,VNM,WPR,2016,GHECAUSE_GHE001140,713.974,358.548,1150.547
36,VCT,AMR,2013,GHECAUSE_GHE000000,739.086,423.176,1223.966
39,GEO,EUR,2017,GHECAUSE_GHE000680,91.094,48.027,145.123
40,THA,SEAR,2018,GHECAUSE_GHE001140,264.453,140.783,404.117
41,IDN,SEAR,2017,GHECAUSE_GHE000390,331.867,236.759,436.162
46,COG,AFR,2015,GHECAUSE_GHE000390,1643.082,1308.574,2020.043
47,HTI,AMR,2013,GHECAUSE_GHE001140,1579.518,994.466,2227.334
48,FSM,WPR,2011,GHECAUSE_GHE001180,728.401,430.416,1128.71
51,COD,AFR,2014,GHECAUSE_GHE000390,3631.181,2951.038,4299.134
54,LTU,EUR,2014,GHECAUSE_GHE001130,666.674,400.049,892.739
55,BHS,AMR,2018,GHECAUSE_GHE001130,185.227,14.113,344.802
56,SWZ,AFR,2017,GHECAUSE_GHE001140,1069.9,635.318,1590.501
59,ARG,AMR,2012,GHECAUSE_GHE001140,93.858,40.557,158.521
62,BGD,SEAR,2016,GHECAUSE_GHE000000,3484.402,3011.722,4034.206
63,SEAR,,2018,GHECAUSE_GHE000680,104.199,75.779,133.206
65,BEL,EUR,2010,GHECAUSE_GHE001180,74.418,20.485,161.642
68,EST,EUR,2017,GHECAUSE_GHE001140,31.787,8.248,71.446
70,BIH,EUR,2019,GHECAUSE_GHE001140,707.649,357.001,1106.867
74,SLE,AFR,2015,GHECAUSE_GHE000000,7643.423,6728.35,8570.955
75,FJI,WPR,2014,GHECAUSE_GHE000680,59.442,42.748,76.877
90,LUX,EUR,2015,GHECAUSE_GHE001130,145.9,84.502,197.329
98,AGO,AFR,2013,GHECAUSE_GHE000680,41.836,30.311,53.897
99,MDV,SEAR,2012,GHECAUSE_GHE001130,463.33,281.943,643.458
100,TLS,SEAR,2013,GHECAUSE_GHE000000,5020.224,4317.943,5820.836
103,FRA,EUR,2011,GHECAUSE_GHE000680,54.385,28.091,89.94
118,BWA,AFR,2010,GHECAUSE_GHE000390,1952.216,1502.073,2444.302
122,SEN,AFR,2017,GHECAUSE_GHE001130,1050.826,821.37,1252.47
124,HUN,EUR,2011,GHECAUSE_GHE000000,1155.772,872.654,1426.068
130,COL,AMR,2017,GHECAUSE_GHE000390,128.99,72.661,193.901
131,AFR,,2015,GHECAUSE_GHE000680,45.602,35.227,56.347
134,YEM,EMR,2015,GHECAUSE_GHE000000,4857.223,3592.856,6153.146
135,ITA,EUR,2018,GHECAUSE_GHE000390,15.28,7.358,24.074
136,TGO,AFR,2018,GHECAUSE_GHE001140,1257.537,815.212,1755.05
138,ALB,EUR,2018,GHECAUSE_GHE001130,702.631,461.952,949.868
139,CAF,AFR,2015,GHECAUSE_GHE001180,886.841,598.914,1229.745
141,IDN,SEAR,2013,GHECAUSE_GHE001140,1227.29,704.749,1836.348
146,MNG,WPR,2018,GHECAUSE_GHE000680,190.113,140.196,241.225
147,UGA,AFR,2019,GHECAUSE_GHE001140,1009.077,670.663,1378.755
150,ARE,EMR,2018,GHECAUSE_GHE001130,786.906,537.756,993.152
152,SEN,AFR,2010,GHECAUSE_GHE000000,4557.558,3901.717,5202.037
154,GRC,EUR,2014,GHECAUSE_GHE000680,58.757,31.11,96.636
156,IND,SEAR,2011,GHECAUSE_GHE001180,1143.251,682.03,1699.13
162,WSM,WPR,2012,GHECAUSE_GHE000390,616.397,462.316,755.687
163,KGZ,EUR,2011,GHECAUSE_GHE001180,374.299,174.07,619.314
164,MMR,SEAR,2014,GHECAUSE_GHE000680,225.323,181.773,266.359
170,SSD,AFR,2014,GHECAUSE_GHE000000,4498.785,3952.776,5057.896
174,SAU,EMR,2016,GHECAUSE_GHE000680,20.786,12.68,30.128
182,ITA,EUR,2019,GHECAUSE_GHE000390,14.132,6.375,23.241
184,BLR,EUR,2018,GHECAUSE_GHE001180,39.795,11.108,90.806
191,NPL,SEAR,2010,GHECAUSE_GHE001130,1028.951,806.204,1226.467
195,MNG,WPR,2010,GHECAUSE_GHE001140,2496.167,1492.31,3676.475
200,GRD,AMR,2018,GHECAUSE_GHE000000,1028.187,591.027,1610.691
204,LSO,AFR,2016,GHECAUSE_GHE001180,1209.711,719.098,1864.387
205,GUY,AMR,2015,GHECAUSE_GHE000390,450.132,305.335,615.462
208,CHN,WPR,2018,GHECAUSE_GHE001180,338.226,155.54,585.632
211,VNM,WPR,2013,GHECAUSE_GHE001180,258.143,113.394,458.714
213,MKD,EUR,2018,GHECAUSE_GHE000000,2091.469,1320.449,3049.369
214,GHA,AFR,2017,GHECAUSE_GHE000680,24.56,19.85,28.903
215,GNQ,AFR,2012,GHECAUSE_GHE000000,5286.795,4252.578,6352.794
216,IRN,EMR,2015,GHECAUSE_GHE000680,36.95,20.283,63.124
217,GRD,AMR,2015,GHECAUSE_GHE000390,216.378,93.668,389.075
224,MDV,SEAR,2016,GHECAUSE_GHE000680,28.861,12.55,56.413
231,MLT,EUR,2013,GHECAUSE_GHE000000,477.553,340.093,606.344
232,TUR,EUR,2017,GHECAUSE_GHE000000,979.589,742.059,1248.776
233,PER,AMR,2018,GHECAUSE_GHE000000,874.592,689.965,1088.703
235,UKR,EUR,2019,GHECAUSE_GHE001140,254.223,115.028,435.586
236,GLOBAL,,2016,GHECAUSE_GHE001130,850.63,612.098,1079.986
238,COL,AMR,2013,GHECAUSE_GHE001130,359.547,226.501,493.111
243,CHE,EUR,2010,GHECAUSE_GHE000680,32.715,16.398,55.99
246,BRN,WPR,2014,GHECAUSE_GHE001130,270.872,147.853,382.795
256,FRA,EUR,2013,GHECAUSE_GHE001130,123.658,74.226,163.881
259,LKA,SEAR,2018,GHECAUSE_GHE000000,2073.457,1727.535,2439.731
268,ARE,EMR,2016,GHECAUSE_GHE001130,817.494,558.622,1032.379
270,MKD,EUR,2017,GHECAUSE_GHE001180,160.732,60.581,298.948
271,VUT,WPR,2019,GHECAUSE_GHE001130,3189.791,2289.74,4009.249
273,LAO,WPR,2019,GHECAUSE_GHE000680,270.929,212.97,329.886
277,PHL,WPR,2012,GHECAUSE_GHE001130,1514.948,1118.601,1865.933
278,ARM,EUR,2015,GHECAUSE_GHE001140,234.557,122.575,367.053
280,AUS,WPR,2019,GHECAUSE_GHE000680,15.41,7.179,27.781
286,UGA,AFR,2010,GHECAUSE_GHE001140,1289.365,854.787,1765.373
290,ETH,AFR,2012,GHECAUSE_GHE000000,4754.003,4194.831,5267.288
293,FSM,WPR,2018,GHECAUSE_GHE001140,1584.412,907.774,2326.442
295,COD,AFR,2012,GHECAUSE_GHE001130,1289.331,998.106,1564.029
298,ROU,EUR,2012,GHECAUSE_GHE001130,641.717,392.879,832.129
301,MNE,EUR,2012,GHECAUSE_GHE000680,296.802,192.502,420.666
307,SEAR,,2018,GHECAUSE_GHE001180,768.919,423.273,1189.008
311,CYP,EUR,2012,GHECAUSE_GHE001140,56.8,26.653,91.584
313,PNG,WPR,2018,GHECAUSE_GHE001180,1235.789,730.932,1889.614
314,MMR,SEAR,2014,GHECAUSE_GHE000000,5156.583,4350.956,6056.975
316,WPR,,2010,GHECAUSE_GHE001130,731.972,535.534,914.277
320,RWA,AFR,2018,GHECAUSE_GHE001140,1057.121,685.045,1482.004
322,NAM,AFR,2017,GHECAUSE_GHE000000,3912.2,3101.607,4687.51
324,KGZ,EUR,2016,GHECAUSE_GHE000390,342.203,244.773,440.753
328,TUR,EUR,2016,GHECAUSE_GHE000000,996.732,759.142,1290.449
334,EST,EUR,2017,GHECAUSE_GHE000680,8.588,3.059,17.839
335,NGA,AFR,2017,GHECAUSE_GHE001180,327.866,221.301,451.614
337,IND,SEAR,2017,GHECAUSE_GHE000390,786.727,589.995,950.764
339,OMN,EMR,2014,GHECAUSE_GHE001180,93.488,29.481,178.995
340,SGP,WPR,2017,GHECAUSE_GHE000390,138.433,58.616,229.44
344,BEN,AFR,2018,GHECAUSE_GHE001130,1287.359,1038.302,1505.523
346,BIH,EUR,2015,GHECAUSE_GHE000680,349.86,215.591,473.926
350,KAZ,EUR,2011,GHECAUSE_GHE001180,212.016,81.245,405.574
351,GTM,AMR,2019,GHECAUSE_GHE001180,133.848,67.61,216.225
354,SRB,EUR,2016,GHECAUSE_GHE001130,768.643,515.532,1008.121
355,SLV,AMR,2011,GHECAUSE_GHE001130,517.733,350.518,667.642
356,IND,SEAR,2018,GHECAUSE_GHE001130,1392.664,1029.048,1746.229
358,AZE,EUR,2017,GHECAUSE_GHE000680,51.289,24.484,87.677
360,KGZ,EUR,2012,GHECAUSE_GHE001140,884.263,495.125,1399.974
362,SWZ,AFR,2012,GHECAUSE_GHE000680,35.392,27.121,43.494
363,TUN,EMR,2013,GHECAUSE_GHE000000,1211.376,889.075,1556.929
364,LUX,EUR,2010,GHECAUSE_GHE001130,187.668,110.827,249.927
365,ECU,AMR,2013,GHECAUSE_GHE000000,707.362,515.666,949.294
366,TZA,AFR,2019,GHECAUSE_GHE001180,262.736,173.924,372.506
367,IND,SEAR,2016,GHECAUSE_GHE000680,90.055,66.873,113.457
368,STP,AFR,2013,GHECAUSE_GHE000680,224.678,188.045,259.306
371,GLOBAL,,2015,GHECAUSE_GHE001140,559.914,325.043,848.406
372,SOM,EMR,2012,GHECAUSE_GHE001180,605.755,387.131,871.354
373,UZB,EUR,2019,GHECAUSE_GHE000390,312.131,192.989,456.806
375,SOM,EMR,2018,GHECAUSE_GHE001180,584.699,373.787,844.782
378,CUB,AMR,2013,GHECAUSE_GHE000680,93.876,33.085,186.037
386,LAO,WPR,2011,GHECAUSE_GHE000390,1910.585,1592.156,2203.211
387,ZMB,AFR,2012,GHECAUSE_GHE001140,1547.863,977.943,2186.836
393,GLOBAL,,2014,GHECAUSE_GHE000390,797.09,633.005,946.694
396,SLE,AFR,2011,GHECAUSE_GHE001180,492.233,335.988,669.051
398,RWA,AFR,2016,GHECAUSE_GHE001180,519.62,353.536,711.637
401,MDV,SEAR,2010,GHECAUSE_GHE001180,185.738,57.207,397.938
402,COD,AFR,2018,GHECAUSE_GHE001140,1101.446,720.558,1570.316
407,SUR,AMR,2019,GHECAUSE_GHE000000,1091.114,623.886,1572.736
409,MEX,AMR,2014,GHECAUSE_GHE001130,473.478,321.759,604.08
421,DEU,EUR,2012,GHECAUSE_GHE001130,246.285,148.257,324.738
422,CIV,AFR,2015,GHECAUSE_GHE000680,38.709,30.404,45.73
425,SUR,AMR,2016,GHECAUSE_GHE000000,1084.46,680.986,1561.188
427,IND,SEAR,2015,GHECAUSE_GHE000680,91.266,68.197,112.907
428,BGD,SEAR,2018,GHECAUSE_GHE000680,149.004,119.975,174.249
430,CAF,AFR,2017,GHECAUSE_GHE001180,857.024,573.871,1187.868
431,MDG,AFR,2015,GHECAUSE_GHE001140,1731.93,1139.62,2358.971
432,PAN,AMR,2015,GHECAUSE_GHE001140,87.073,38.561,143.243
435,IND,SEAR,2016,GHECAUSE_GHE000000,4014.143,3194.238,4830.13
437,MYS,WPR,2012,GHECAUSE_GHE001180,114.491,36.84,248.259
438,SOM,EMR,2017,GHECAUSE_GHE000390,3781.764,3142.298,4363.968
442,LKA,SEAR,2015,GHECAUSE_GHE000000,2269.341,1887.519,2631.795
443,VEN,AMR,2012,GHECAUSE_GHE000680,47.925,22.211,88.809
448,PNG,WPR,2019,GHECAUSE_GHE000680,149.095,117.78,182.194
450,THA,SEAR,2013,GHECAUSE_GHE001180,179.706,81.846,316.988
456,GNB,AFR,2010,GHECAUSE_GHE001180,562.84,376.1,765.16
462,KAZ,EUR,2014,GHECAUSE_GHE001180,209.069,74.45,410.451
463,NZL,WPR,2019,GHECAUSE_GHE001180,34.891,6.16,89.711
467,MNE,EUR,2010,GHECAUSE_GHE001140,1008.837,543.153,1569.91
469,MMR,SEAR,2015,GHECAUSE_GHE000680,222.721,179.876,261.993
473,GIN,AFR,2014,GHECAUSE_GHE000680,46.919,39.375,53.613
478,SWE,EUR,2014,GHECAUSE_GHE000390,5.745,1.249,13.776
481,LCA,AMR,2011,GHECAUSE_GHE000680,14.996,5.084,32.249
483,IDN,SEAR,2017,GHECAUSE_GHE001180,300.073,135.982,543.351
487,THA,SEAR,2016,GHECAUSE_GHE000680,152.487,92.096,220.633
490,MKD,EUR,2014,GHECAUSE_GHE001130,995.9,627.535,1454.685
492,CUB,AMR,2019,GHECAUSE_GHE000000,831.214,517.95,1269.422
497,HND,AMR,2015,GHECAUSE_GHE000000,2732.015,2169.339,3320.11
501,MAR,EMR,2017,GHECAUSE_GHE001130,983.867,593.714,1379.884
508,GMB,AFR,2016,GHECAUSE_GHE001180,479.347,322.653,652.442
512,ZWE,AFR,2017,GHECAUSE_GHE001140,780.668,481.646,1111.806
517,MUS,AFR,2011,GHECAUSE_GHE000390,83.104,34.423,151.132
522,KAZ,EUR,2013,GHECAUSE_GHE000680,128.3,68.623,214.443
523,USA,AMR,2012,GHECAUSE_GHE001140,47.017,17.601,87.235
529,KAZ,EUR,2010,GHECAUSE_GHE001130,1461.83,940.848,2036.918
530,SVN,EUR,2017,GHECAUSE_GHE000680,58.445,31.469,95.027
532,IND,SEAR,2016,GHECAUSE_GHE000390,853.521,674.358,1021.291
533,ISL,EUR,2012,GHECAUSE_GHE000000,205.443,125.104,296.554
534,SVK,EUR,2014,GHECAUSE_GHE001180,41.691,12.8,87.149
541,PER,AMR,2012,GHECAUSE_GHE001180,70.121,33.894,120.97
545,THA,SEAR,2017,GHECAUSE_GHE000390,262.494,184.796,345.853
547,NAM,AFR,2011,GHECAUSE_GHE000390,1846.013,1453.501,2204.76
548,PRT,EUR,2011,GHECAUSE_GHE001140,82.494,33.763,143.57
555,LAO,WPR,2014,GHECAUSE_GHE000390,1515.301,1261.488,1748.237
559,NAM,AFR,2014,GHECAUSE_GHE000000,4162.16,3402.146,4911.878
560,SYR,EMR,2013,GHECAUSE_GHE001140,254.995,125.157,414.981
561,AUS,WPR,2015,GHECAUSE_GHE000000,158.897,98.171,225.079
562,TUR,EUR,2013,GHECAUSE_GHE000390,82.65,53.624,115.87
563,AUT,EUR,2016,GHECAUSE_GHE000680,33.269,16.462,57.261
570,KGZ,EUR,2014,GHECAUSE_GHE001140,766.148,427.255,1209.556
587,SDN,EMR,2010,GHECAUSE_GHE001140,913.675,507.541,1380.865
590,SSD,AFR,2014,GHECAUSE_GHE001130,626.66,504.421,733.41
593,LBR,AFR,2010,GHECAUSE_GHE001180,315.513,215.002,430.25
594,BOL,AMR,2016,GHECAUSE_GHE001180,162.239,68.548,301.339
597,SWE,EUR,2018,GHECAUSE_GHE001180,16.849,1.936,48.137
600,DZA,AFR,2016,GHECAUSE_GHE000680,33.148,14.839,58.542
604,SLV,AMR,2017,GHECAUSE_GHE000000,890.583,669.168,1130.014
607,EUR,,2014,GHECAUSE_GHE001130,601.762,365.592,864.928
608,IRN,EMR,2016,GHECAUSE_GHE000680,36.693,19.581,65.206
609,URY,AMR,2015,GHECAUSE_GHE001140,78.341,27.095,141.246
611,GMB,AFR,2011,GHECAUSE_GHE001130,1702.661,1363.222,2003.272
617,TGO,AFR,2015,GHECAUSE_GHE001140,1412.428,921.763,1963.336
618,COL,AMR,2019,GHECAUSE_GHE000680,27.86,12.033,50.727
623,CYP,EUR,2017,GHECAUSE_GHE001140,44.499,20.402,73.808
628,OMN,EMR,2017,GHECAUSE_GHE001180,93.12,29.951,177.122
637,ROU,EUR,2014,GHECAUSE_GHE000390,156.331,74.284,247.121
639,MDA,EUR,2014,GHECAUSE_GHE000390,237.456,125.01,381.51
642,TUR,EUR,2019,GHECAUSE_GHE000680,139.821,79.478,225.461
643,MRT,AFR,2012,GHECAUSE_GHE001130,807.443,612.449,990.716
644,MOZ,AFR,2019,GHECAUSE_GHE000000,6478.685,5480.849,7478.326
649,GAB,AFR,2018,GHECAUSE_GHE001130,602.921,318.118,882.093
653,STP,AFR,2013,GHECAUSE_GHE000000,5611.667,4950.453,6295.376
658,TKM,EUR,2016,GHECAUSE_GHE000390,315.813,180.926,470.278
663,BLZ,AMR,2017,GHECAUSE_GHE000000,876.023,528.918,1232.743
664,FIN,EUR,2016,GHECAUSE_GHE000680,5.111,2.002,10.418
667,GIN,AFR,2012,GHECAUSE_GHE001140,1424.99,949.451,1960.947
668,GIN,AFR,2018,GHECAUSE_GHE000000,7689.924,6768.478,8547.046
672,DEU,EUR,2017,GHECAUSE_GHE001140,45.378,18.88,77.79
673,CAF,AFR,2010,GHECAUSE_GHE001130,2202.618,1719.475,2645.909
674,ATG,AMR,2019,GHECAUSE_GHE000000,354.895,203.277,521.575
675,LCA,AMR,2017,GHECAUSE_GHE000390,127.836,52.056,231.676
678,FRA,EUR,2011,GHECAUSE_GHE001130,136.488,83.023,179.773
679,ISR,EUR,2014,GHECAUSE_GHE001140,55.443,27.291,85.11
682,LVA,EUR,2012,GHECAUSE_GHE001140,216.258,99.978,354.23
683,NGA,AFR,2012,GHECAUSE_GHE001130,1166.516,949.956,1356.573
684,LCA,AMR,2015,GHECAUSE_GHE001140,164.76,69.833,291.501
685,POL,EUR,2017,GHECAUSE_GHE000390,95.121,54.242,137.883
688,HTI,AMR,2014,GHECAUSE_GHE001140,1579.583,982.771,2214.407
691,MDG,AFR,2015,GHECAUSE_GHE001180,584.372,391.105,815.105
692,MRT,AFR,2017,GHECAUSE_GHE001130,793.809,593.017,978.118
693,JPN,WPR,2012,GHECAUSE_GHE001130,125.386,74.212,166.595
694,DZA,AFR,2018,GHECAUSE_GHE001180,54.95,15.772,113.377
696,KAZ,EUR,2016,GHECAUSE_GHE001140,517.742,263.909,834.334
697,VNM,WPR,2011,GHECAUSE_GHE001140,1058.037,564.523,1612.431
699,MYS,WPR,2018,GHECAUSE_GHE000680,54.602,24.239,117.016
708,CHN,WPR,2016,GHECAUSE_GHE000390,174.19,129.884,215.387
727,USA,AMR,2011,GHECAUSE_GHE001180,64.792,12.795,162.855
736,SGP,WPR,2010,GHECAUSE_GHE001130,279.795,170.129,370.185
739,FIN,EUR,2018,GHECAUSE_GHE000390,2.705,0.492,6.855
743,TKM,EUR,2013,GHECAUSE_GHE000680,39.762,19.572,66.874
745,LSO,AFR,2015,GHECAUSE_GHE000680,47.661,37.625,57.177
752,GRC,EUR,2013,GHECAUSE_GHE001140,103.131,50.008,161.448
760,SLB,WPR,2019,GHECAUSE_GHE000000,7095.692,5640.571,8459.272
761,GUY,AMR,2018,GHECAUSE_GHE001130,1126.49,700.842,1526.746
763,TJK,EUR,2011,GHECAUSE_GHE001140,1240.807,676.198,1939.461
764,PRK,SEAR,2012,GHECAUSE_GHE000390,605.804,505.853,682.459
774,FRA,EUR,2017,GHECAUSE_GHE000680,37.612,18.322,65.045
778,ITA,EUR,2013,GHECAUSE_GHE001140,61.678,30.148,95.476
779,KEN,AFR,2019,GHECAUSE_GHE000390,1539.62,1263.277,1784.584
783,MEX,AMR,2015,GHECAUSE_GHE000390,198.685,139.023,259.362
784,AUT,EUR,2013,GHECAUSE_GHE001180,46.301,11.907,104.072
787,MUS,AFR,2012,GHECAUSE_GHE001180,76.113,19.612,172.947
789,QAT,EMR,2010,GHECAUSE_GHE001140,257.176,142.487,402.991
790,KWT,EMR,2019,GHECAUSE_GHE001140,177.002,97.453,276.044
791,GMB,AFR,2010,GHECAUSE_GHE000390,2873.47,2412.25,3259.431
792,GNB,AFR,2012,GHECAUSE_GHE001180,548.647,366.578,747.287
795,BEN,AFR,2019,GHECAUSE_GHE001140,1199.631,794.498,1649.465
797,BEN,AFR,2010,GHECAUSE_GHE000000,6924.828,6126.415,7752.531
801,MLI,AFR,2011,GHECAUSE_GHE001130,1173.963,939.897,1370.799
804,KAZ,EUR,2018,GHECAUSE_GHE001140,467.7,233.809,766.462
810,KEN,AFR,2010,GHECAUSE_GHE000390,1941.17,1626.9,2212.463
812,MDA,EUR,2012,GHECAUSE_GHE001140,400.225,182.332,658.925
813,URY,AMR,2012,GHECAUSE_GHE000390,44.985,12.201,92.179
816,MMR,SEAR,2015,GHECAUSE_GHE000390,1210.803,998.618,1396.684
822,LSO,AFR,2014,GHECAUSE_GHE000390,5782.67,4681.019,6816.237
824,GHA,AFR,2019,GHECAUSE_GHE000680,24.1,19.329,28.276
832,BGD,SEAR,2012,GHECAUSE_GHE000000,3927.68,3407.929,4542.943
835,VEN,AMR,2016,GHECAUSE_GHE000390,183.128,101.047,297.033
837,SWE,EUR,2018,GHECAUSE_GHE000680,6.041,2.514,11.969
839,NOR,EUR,2014,GHECAUSE_GHE001180,25.504,3.531,70.894
843,LUX,EUR,2011,GHECAUSE_GHE001140,55.281,23.794,92.675
846,MLT,EUR,2016,GHECAUSE_GHE000680,28.843,14.132,49.208
848,TJK,EUR,2013,GHECAUSE_GHE000390,1026.349,750.886,1299.233
852,BRN,WPR,2013,GHECAUSE_GHE000680,21.694,9.031,41.678
854,MDG,AFR,2019,GHECAUSE_GHE000000,5396.064,4697.378,6130.502
857,TUR,EUR,2010,GHECAUSE_GHE000390,85.728,57.234,120.012
859,TLS,SEAR,2010,GHECAUSE_GHE000000,5520.129,4765.668,6355.892
860,SEAR,,2017,GHECAUSE_GHE000000,3536.272,2772.011,4303.312
861,ETH,AFR,2019,GHECAUSE_GHE001130,812.291,639.806,954.527
863,AUS,WPR,2017,GHECAUSE_GHE000680,9.852,4.338,18.956
864,ZMB,AFR,2014,GHECAUSE_GHE001140,1578.062,1001.316,2222.96
865,BRN,WPR,2012,GHECAUSE_GHE001130,274.223,147.642,392.567
866,PRT,EUR,2015,GHECAUSE_GHE001180,23.459,4.359,60.193
867,RUS,EUR,2010,GHECAUSE_GHE001140,394.478,168.518,753.192
869,THA,SEAR,2014,GHECAUSE_GHE000680,157.556,100.272,219.891
872,PAN,AMR,2013,GHECAUSE_GHE001180,34.589,9.016,79.616
873,HND,AMR,2019,GHECAUSE_GHE001180,384.909,195.042,619.964
875,ECU,AMR,2015,GHECAUSE_GHE001180,48.011,16.71,99.7
881,CHL,AMR,2016,GHECAUSE_GHE001140,107.691,54.618,160.934
885,TUN,EMR,2013,GHECAUSE_GHE001180,69.224,22.752,140.069
887,ECU,AMR,2019,GHECAUSE_GHE001140,107.306,50.439,171.832
890,JOR,EMR,2010,GHECAUSE_GHE000000,914.81,703.297,1128.878
893,CMR,AFR,2018,GHECAUSE_GHE000680,48.258,39.514,56.112
896,IND,SEAR,2011,GHECAUSE_GHE001140,675.773,400.827,985.056
903,AZE,EUR,2017,GHECAUSE_GHE001130,1761.271,1104.094,2367.672
904,TTO,AMR,2015,GHECAUSE_GHE001130,340.066,194.296,470.626
907,MNG,WPR,2016,GHECAUSE_GHE000000,5232.151,4187.31,6374.724
911,TCD,AFR,2016,GHECAUSE_GHE000680,31.003,25.93,35.712
916,NPL,SEAR,2015,GHECAUSE_GHE000390,802.791,659.364,926.734
917,BHS,AMR,2019,GHECAUSE_GHE001140,48.014,0.0,132.207
919,EUR,,2011,GHECAUSE_GHE000000,1165.563,817.968,1601.021
928,ROU,EUR,2011,GHECAUSE_GHE000390,188.517,97.504,282.873
931,COM,AFR,2019,GHECAUSE_GHE000390,2311.815,1919.222,2674.874
933,WSM,WPR,2013,GHECAUSE_GHE001130,1713.066,1160.895,2239.48
934,CYP,EUR,2012,GHECAUSE_GHE000390,13.622,6.563,21.788
935,MNE,EUR,2014,GHECAUSE_GHE000680,287.084,181.625,401.454
937,KIR,WPR,2014,GHECAUSE_GHE001140,2392.418,1447.399,3477.684
939,GRC,EUR,2019,GHECAUSE_GHE001180,43.543,11.237,97.417
941,ZWE,AFR,2019,GHECAUSE_GHE000000,4973.677,4201.897,5692.05
944,SLE,AFR,2012,GHECAUSE_GHE000680,41.844,34.935,48.054
946,AUT,EUR,2019,GHECAUSE_GHE000000,316.689,219.155,416.02
949,YEM,EMR,2013,GHECAUSE_GHE001140,911.438,523.85,1461.928
955,ARE,EMR,2012,GHECAUSE_GHE001130,877.866,601.693,1107.94
965,TCD,AFR,2011,GHECAUSE_GHE000680,30.562,25.537,35.096
967,ISL,EUR,2012,GHECAUSE_GHE000390,6.789,1.464,16.815
968,LKA,SEAR,2018,GHECAUSE_GHE001140,281.31,170.575,402.012
970,YEM,EMR,2017,GHECAUSE_GHE000000,4912.785,3643.869,6272.253
973,HTI,AMR,2011,GHECAUSE_GHE000680,84.286,68.377,100.057
974,STP,AFR,2019,GHECAUSE_GHE001180,793.391,527.772,1083.119
983,USA,AMR,2012,GHECAUSE_GHE000680,27.221,12.65,48.877
984,MLT,EUR,2019,GHECAUSE_GHE001180,28.247,6.523,64.75
989,QAT,EMR,2012,GHECAUSE_GHE001180,106.528,47.681,181.45
990,LTU,EUR,2018,GHECAUSE_GHE001180,20.489,4.372,49.491
992,DEU,EUR,2014,GHECAUSE_GHE001140,49.511,21.235,83.074
993,GUY,AMR,2016,GHECAUSE_GHE000000,2407.356,1727.322,3132.839
998,MLT,EUR,2012,GHECAUSE_GHE000000,524.236,371.326,666.905
1002,ALB,EUR,2010,GHECAUSE_GHE001180,90.463,37.752,156.334
1003,BRA,AMR,2018,GHECAUSE_GHE000000,642.315,447.654,909.471
1006,LCA,AMR,2012,GHECAUSE_GHE001130,202.631,110.481,293.14
1008,PRY,AMR,2010,GHECAUSE_GHE000000,1757.587,1412.648,2105.836
1011,EST,EUR,2019,GHECAUSE_GHE001130,178.426,90.059,261.702
1020,BWA,AFR,2013,GHECAUSE_GHE001180,456.257,233.869,769.298
1026,SEAR,,2012,GHECAUSE_GHE001140,819.917,494.678,1191.765
1027,SEAR,,2017,GHECAUSE_GHE001140,671.417,397.759,1010.533
1029,BEL,EUR,2014,GHECAUSE_GHE000390,28.709,11.766,48.058
1035,CHL,AMR,2017,GHECAUSE_GHE001130,174.765,110.681,226.991
1036,VEN,AMR,2010,GHECAUSE_GHE000680,49.25,22.62,90.917
1037,GUY,AMR,2011,GHECAUSE_GHE000000,2919.226,2135.316,3732.252
1042,KIR,WPR,2018,GHECAUSE_GHE000000,7324.482,5816.712,8854.157
1044,SUR,AMR,2011,GHECAUSE_GHE000680,59.566,26.918,102.237
1048,PRY,AMR,2016,GHECAUSE_GHE001140,269.544,152.183,402.861
1049,MEX,AMR,2011,GHECAUSE_GHE000680,35.889,22.934,52.127
1051,CHN,WPR,2019,GHECAUSE_GHE001140,577.89,323.02,905.901
1052,ETH,AFR,2016,GHECAUSE_GHE000680,66.251,55.936,76.035
1054,WSM,WPR,2016,GHECAUSE_GHE001140,916.819,505.427,1373.988
