Id,IndicatorCode,SpatialDim,ParentLocationCode,TimeDim,NumericValue_MDG,Low,High
513094,MDG_0000000007,TCD,AFR,2018,111.657249071,86.70223006,142.483685657
514842,MDG_0000000007,MWI,AFR,2011,72.254513192,63.843108976,81.46307931
515688,MDG_0000000007,ESP,EUR,2017,3.234318734,3.167621807,3.303417022
517970,MDG_0000000007,IRQ,EMR,2013,37.362059875,31.051371319,44.893352332
518573,MDG_0000000007,PRY,AMR,2018,20.071584937,10.866849748,37.772062192
520048,MDG_0000000007,GHA,AFR,2019,44.433489577,38.588340816,51.100842557
521647,MDG_0000000007,TLS,SEAR,2013,77.239920512,61.865803083,93.216731924
521903,MDG_0000000007,UNSDG_OCEANIAexAUSNZL,,2010,51.669445966,44.787342838,59.858206501
523075,MDG_0000000007,ZWE,AFR,2016,58.764764203,49.626724376,68.955386649
523079,MDG_0000000007,RWA,AFR,2014,46.252340558,37.985994889,55.912461587
523993,MDG_0000000007,DZA,AFR,2014,24.61025131,22.198207792,27.073404609
524112,MDG_0000000007,TGO,AFR,2014,78.090872308,69.238765737,88.502885771
524335,MDG_0000000007,JOR,EMR,2017,15.735739926,12.834628982,19.557892185
525507,MDG_0000000007,BLR,EUR,2016,2.632542361,1.941980281,3.468349669
527425,MDG_0000000007,ARM,EUR,2018,12.711482541,10.60071981,14.989745542
527540,MDG_0000000007,URY,AMR,2012,10.041417895,9.70831451,10.379142946
533627,MDG_0000000007,CYP,EUR,2014,2.908715282,2.579296077,3.254005568
534948,MDG_0000000007,UNSDG_CENTRALASIASOUTHERNASIA,,2017,42.674038832,40.910225375,44.617784161
535760,MDG_0000000007,NPL,SEAR,2016,42.594588981,37.024597015,48.826016555
536189,MDG_0000000007,UNICEFREGIONMENA,,2015,24.215219859,22.554201245,26.28712592
537306,MDG_0000000007,CAN,AMR,2012,5.573258516,5.482857727,5.670324479
537948,MDG_0000000007,COM,AFR,2017,59.964535113,46.491672197,74.186691921
538710,MDG_0000000007,CMR,AFR,2019,92.580208772,76.256884211,112.046412159
541173,MDG_0000000007,SVK,EUR,2018,5.960157163,5.73421205,6.179756393
543737,MDG_0000000007,SSD,AFR,2015,236.526578516,125.38065529,397.857635232
543881,MDG_0000000007,UNICEFREGIONNA,,2018,6.418672138,6.317175741,6.518174617
544296,MDG_0000000007,UNICEF_ROSA,,2019,40.879641844,38.634833754,43.345585354
544612,MDG_0000000007,WSM,WPR,2016,18.325914949,14.87087077,22.801233885
545147,MDG_0000000007,CMR,AFR,2012,61.076673967,52.635835839,70.367127136
548020,MDG_0000000007,MDG,AFR,2011,83.013058258,72.536691654,94.7259855
548040,MDG_0000000007,UKR,EUR,2017,8.895713862,8.614426683,9.199265393
548208,MDG_0000000007,WB_LI,,2011,97.169925286,91.958768995,105.360178591
548950,MDG_0000000007,ARG,AMR,2011,15.242325155,13.246751898,17.342829244
550519,MDG_0000000007,AUT,EUR,2017,3.593804476,3.450536208,3.742885957
551385,MDG_0000000007,NPL,SEAR,2019,19.180884368,15.44261713,23.640138923
553187,MDG_0000000007,PNG,WPR,2015,58.579355107,44.550241639,75.619525546
554060,MDG_0000000007,UNSDG_SIDS,,2019,39.905928778,35.205121795,46.667926944
559894,MDG_0000000007,BRA,AMR,2011,17.86464221,17.477657651,18.263614444
560002,MDG_0000000007,IND,SEAR,2017,31.232890077,27.787377239,34.993752987
560094,MDG_0000000007,SWE,EUR,2014,2.903658295,2.796077072,3.019774709
562587,MDG_0000000007,ZAF,AFR,2019,39.039381494,33.649754826,44.707260405
563457,MDG_0000000007,TON,WPR,2010,13.291203621,11.020402392,15.887024277
563550,MDG_0000000007,UNSDG_SUBSAHARANAFRICA,,2017,85.075297872,79.754617737,93.904823101
564087,MDG_0000000007,KGZ,EUR,2018,21.73454995,19.152907823,24.483427115
564376,MDG_0000000007,PNG,WPR,2018,32.447371704,21.564117057,47.438706599
564488,MDG_0000000007,LBR,AFR,2012,106.128502764,91.885573351,121.994367563
564505,MDG_0000000007,LBY,EMR,2015,13.329439124,9.714643846,18.162510225
564765,MDG_0000000007,LSO,AFR,2017,55.468303889,45.154734677,67.655695284
565669,MDG_0000000007,HTI,AMR,2018,66.434084388,51.569247094,86.856476172
566292,MDG_0000000007,MEX,AMR,2014,16.778767779,15.980484023,17.771315256
567087,MDG_0000000007,TKM,EUR,2015,36.799121276,28.021624537,47.727012596
567340,MDG_0000000007,TKM,EUR,2013,42.974893117,33.648203569,55.029737549
567547,MDG_0000000007,MNG,WPR,2014,28.714664417,25.256131848,32.475254507
567714,MDG_0000000007,GMB,AFR,2016,59.847627326,50.568598782,70.096698409
568622,MDG_0000000007,MHL,WPR,2019,31.925278912,20.418722147,49.829385735
572365,MDG_0000000007,ZAF,AFR,2012,36.701820463,31.14786859,42.951299527
580019,MDG_0000000007,IRL,EUR,2013,3.868645755,3.70089884,4.049935488
580146,MDG_0000000007,ARG,AMR,2015,15.788683835,13.188217671,18.634538658
580438,MDG_0000000007,KAZ,EUR,2011,15.867835752,13.464861762,18.401295528
581204,MDG_0000000007,DOM,AMR,2016,35.488617517,29.179230854,42.890587897
581602,MDG_0000000007,COL,AMR,2012,16.995108618,14.224164737,20.190937691
583497,MDG_0000000007,SRB,EUR,2019,6.247826064,5.381562392,7.149421554
584654,MDG_0000000007,VUT,WPR,2012,17.474688583,13.832079117,21.740023873
585346,MDG_0000000007,AMR,,2017,14.567107044,14.16319724,15.146882051
586715,MDG_0000000007,ZMB,AFR,2012,66.19322982,58.461866873,74.701072818
587223,MDG_0000000007,MLI,AFR,2010,131.554585785,117.366935071,147.229685866
588156,MDG_0000000007,PRT,EUR,2013,3.64985871,3.506747789,3.794340066
589279,MDG_0000000007,CRI,AMR,2010,10.481972446,10.224295208,10.753633056
591828,MDG_0000000007,TUN,EMR,2011,23.185723855,19.261409603,27.424583894
